external_id;klient_id;kwota;typ;data_transakcji
TR001;1;150.50;przelew;20.07.2026 10:15:00
TR002;2;85.00;wpłata;20.07.2026 12:10:00
TR003;99;250.00;wpłata;20.07.2026 13:30:43
TR004;3;;wpłata;20.07.2026  12:67:55
TR005;1;sto złotych; przelew;20.07.2026 13:07:55
TR006;3;-40;wypłata;20.07.2026 19:07:05
TR007;2;790;WYPŁATA;20.07.2026 11:37:01
TR008;1;800;przelew;20.07.2026 18:17:50
TR008;1;800;przelew;20.07.2026 18:17:50
TR010;3;50;nieznany typ;20.07.2026 09:12:57
TR011;2;;przelew;20.07.2026 14:27:36
TR012;2;600;wpłata;poniedziałek, 20 lipiec 2026
TR013;1;1200;PRZELEW;20.07.2026 06:23:48
TR014;;54;wypłata;20.07.2026 08:42:15
TR015;2;126;przelew;20.07.2026 23:59:59
TR016;1;54.68;WPŁATA;20.07.2026 23:56:41
TR017;2;780.89;wpłata;2026-07-20
TR018;3;9999;;20.07.2026 19:31:08
TR019;2;42.79;przelew;20.07.2026 14:07:53
TR020;1;-70;nieznany typ;20.07.2026 22:46:09
